device = mps
train samples = 156965
dev samples = 73152
trainable params = 4,484,929
loss type = pairwise
lr scheduler = ReduceLROnPlateau(mode=min, factor=0.5, patience=1, min_lr=1e-06)
wandb run name = pairwise-balanced-0404-2354
early stopping monitor: 2/10 epochs without selection_score improvement > 0.0010
[epoch 5] step 200 train_loss=0.5020
[epoch 5] step 400 train_loss=0.4989
[epoch 5] step 600 train_loss=0.4951
[epoch 5] step 800 train_loss=0.4956
[epoch 5] step 1000 train_loss=0.4946
[epoch 5] step 1200 train_loss=0.4944
[epoch 5] step 1400 train_loss=0.4976
[epoch 5] step 1600 train_loss=0.4977
[epoch 5] step 1800 train_loss=0.4970
[epoch 5] step 2000 train_loss=0.4988
[epoch 5] step 2200 train_loss=0.4996
[epoch 5] step 2400 train_loss=0.4993
[epoch 5] step 2600 train_loss=0.4988
[epoch 5] step 2800 train_loss=0.4973
[epoch 5] step 3000 train_loss=0.4976
[epoch 5] step 3200 train_loss=0.4984
[epoch 5] step 3400 train_loss=0.4982
[epoch 5] step 3600 train_loss=0.4980
[epoch 5] step 3800 train_loss=0.4976
[epoch 5] step 4000 train_loss=0.4984
[epoch 5] step 4200 train_loss=0.4989
[epoch 5] step 4400 train_loss=0.4987
[epoch 5] step 4600 train_loss=0.4987
[epoch 5] step 4800 train_loss=0.4976
[epoch 5] step 5000 train_loss=0.4973
[epoch 5] step 5200 train_loss=0.4967
[epoch 5] step 5400 train_loss=0.4974
[epoch 5] step 5600 train_loss=0.4972
[epoch 5] step 5800 train_loss=0.4978
[epoch 5] step 6000 train_loss=0.4980
[epoch 5] step 6200 train_loss=0.4975
[epoch 5] step 6400 train_loss=0.4976
[epoch 5] step 6600 train_loss=0.4976
[epoch 5] step 6800 train_loss=0.4976
[epoch 5] step 7000 train_loss=0.4975
[epoch 5] step 7200 train_loss=0.4974
[epoch 5] step 7400 train_loss=0.4976
[epoch 5] step 7600 train_loss=0.4975
[epoch 5] step 7800 train_loss=0.4977
[epoch 5] step 8000 train_loss=0.4978
[epoch 5] step 8200 train_loss=0.4975
[epoch 5] step 8400 train_loss=0.4980
[epoch 5] step 8600 train_loss=0.4983
[epoch 5] step 8800 train_loss=0.4981
[epoch 5] step 9000 train_loss=0.4980
[epoch 5] step 9200 train_loss=0.4980
[epoch 5] step 9400 train_loss=0.4977
[epoch 5] step 9600 train_loss=0.4975
[epoch 5] step 9800 train_loss=0.4974
[epoch 5] step 10000 train_loss=0.4973
[epoch 5] step 10200 train_loss=0.4973
[epoch 5] step 10400 train_loss=0.4974
[epoch 5] step 10600 train_loss=0.4975
[epoch 5] step 10800 train_loss=0.4976
[epoch 5] step 11000 train_loss=0.4980
[epoch 5] step 11200 train_loss=0.4982
[epoch 5] step 11400 train_loss=0.4984
[epoch 5] step 11600 train_loss=0.4981
[epoch 5] step 11800 train_loss=0.4984
[epoch 5] step 12000 train_loss=0.4983
[epoch 5] step 12200 train_loss=0.4982
[epoch 5] step 12400 train_loss=0.4981
[epoch 5] step 12600 train_loss=0.4982
[epoch 5] step 12800 train_loss=0.4983
[epoch 5] step 13000 train_loss=0.4986
[epoch 5] step 13200 train_loss=0.4984
[epoch 5] step 13400 train_loss=0.4985
[epoch 5] step 13600 train_loss=0.4985
[epoch 5] step 13800 train_loss=0.4988
[epoch 5] step 14000 train_loss=0.4986
[epoch 5] step 14200 train_loss=0.4985
[epoch 5] step 14400 train_loss=0.4985
[epoch 5] step 14600 train_loss=0.4984
[epoch 5] step 14800 train_loss=0.4984
[epoch 5] step 15000 train_loss=0.4985
[epoch 5] step 15200 train_loss=0.4986
[epoch 5] step 15400 train_loss=0.4985
[epoch 5] step 15600 train_loss=0.4985
[epoch 5] step 15800 train_loss=0.4988
[epoch 5] step 16000 train_loss=0.4986
[epoch 5] step 16200 train_loss=0.4986
[epoch 5] step 16400 train_loss=0.4986
